,content,votes,rating,movie_id,movie_name
0,三星半吧。看之前看到此片被豆瓣一些影评人吹得天花乱坠，但看了之后挺失望的。缺乏味道、情怀和批判性。不过李菁和郭涛演的喋血双聋倒是有点意思。古天乐布了这么大一局拼命求生的动机原来只是单纯为了求生而已，感觉这样的情节设置有点虎头蛇尾……,904,还行,10344754,毒战 毒戰
1,真的太惊世骇俗了！真没想到合拍片能拍成这样！杜琪峰仍然是我心中的NO.1！！！除了钟汉良李光洁那两个角色有点多余，整个从前到后简直太赞了好吗！！！！！虽然我还妄想着孙红雷的角色能更复杂一点。严重推荐一定要注意结尾，不剧透。,438,力荐,10344754,毒战 毒戰
2,好想甩出一麻袋星！,370,力荐,10344754,毒战 毒戰
3,整部戏的节奏棒极了，调度和表演同样甩出那些所谓的内地“零差评”电视电影或抗日神剧半个地球，故事还有解读和留白的空间，有些迫于审查不便直接表达的东西竟然也被巧妙的表现了出来，透着一股宿命的悲怆感，最后动作戏的高潮也抛开了以往的形式感，估计这算是用黑色突破了内地审查的极限。★★★★,154,推荐,10344754,毒战 毒戰
4,足有五六场以上的戏让鄙人惊叫：好鬼搞嘢~,94,力荐,10344754,毒战 毒戰
5,黄一琳太作！,4,很差,10355621,粉红女郎之爱人快跑
6,噗,0,较差,10355621,粉红女郎之爱人快跑
7,挺搞笑的~,1,还行,10355621,粉红女郎之爱人快跑
8,哎 被毁了 笑点很莫名其妙,0,较差,10355621,粉红女郎之爱人快跑
9,20131017，太垃圾了。,0,很差,10355621,粉红女郎之爱人快跑
10,其实导演还是挺认真的，这能看得出来，但丫很明显根本就没有能力去拍电影，许多地方连导演自己都没把想法表达出来，看的我都替他捉鸡。我坚持认为活干的糙的人都适合拍电视剧，不该有来搞电影的想法,0,很差,10355633,绝命藏宝图
11,电影频道播的这电影真牛逼,0,力荐,10355633,绝命藏宝图
12,大型！古装！数字！悬疑！电影！金童！玉女！CCTV6！,0,很差,10355633,绝命藏宝图
13,这感情戏也太突然了吧,0,很差,10355633,绝命藏宝图
